y,x,t,y_image,x_image,retrieval_local_zenith_angle,quantitative_local_zenith_angle,retrieval_solar_zenith_angle,day_solar_zenith_angle,night_solar_zenith_angle,sst_c,time
0.13563198,0.009968007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.624274,2020-07-28T00:30:05.934142976
0.13563198,0.011088007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,12.217438,2020-07-28T00:30:05.934142976
0.13563198,0.012208007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,10.251816,2020-07-28T00:30:05.934142976
0.13563198,0.0133280065,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,12.948395,2020-07-28T00:30:05.934142976
0.13563198,0.014448008,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.245051,2020-07-28T00:30:05.934142976
0.13451199,-0.020271992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.750376,2020-07-28T00:30:05.934142976
0.13451199,-0.019151995,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.5815,2020-07-28T00:30:05.934142976
0.13451199,-0.013551992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,12.115626,2020-07-28T00:30:05.934142976
0.13451199,-0.012431992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.554326,2020-07-28T00:30:05.934142976
0.13451199,-0.010191994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,11.078308,2020-07-28T00:30:05.934142976
0.13451199,-0.0068319933,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,12.899541,2020-07-28T00:30:05.934142976
0.13451199,-0.0057119927,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,13.88244,2020-07-28T00:30:05.934142976
0.13451199,-0.004591993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,13.576536,2020-07-28T00:30:05.934142976
0.13451199,0.0021280074,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.160055,2020-07-28T00:30:05.934142976
0.13451199,0.0032480075,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.582636,2020-07-28T00:30:05.934142976
0.13451199,0.004368007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.996029,2020-07-28T00:30:05.934142976
0.13451199,0.0054880073,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.723354,2020-07-28T00:30:05.934142976
0.13451199,0.006608007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.040314,2020-07-28T00:30:05.934142976
0.13451199,0.0077280076,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.301259,2020-07-28T00:30:05.934142976
0.13451199,0.008848007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,6.646759,2020-07-28T00:30:05.934142976
0.13451199,0.012208007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,13.207408,2020-07-28T00:30:05.934142976
0.13451199,0.014448008,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.989792,2020-07-28T00:30:05.934142976
0.13451199,0.03348801,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.388699,2020-07-28T00:30:05.934142976
